NO,"NO SURAT MASUK","NOMOR SURAT",TANGGAL,PERIHAL,"TERIMA DARI",ISI,"TANGGAL DITERUSKAN",CATATAN,KATEGORI,"TANGGAL PELAKSANAAN","WAKTU PELAKSANAAN","TEMPAT PELAKSANAAN"
283,1526,042.Des/2022,KD.01.03/5284/2022,2022-12-09,"usulan pengurus barang dan penyimpanan baraang TA 2023","Sekretariat daerah","usulan pengurus barang dan penyimpanan baraang TA 2023",2022/12/13,"bagian keuangan bu susi",Permohonan,,,
284,1525,041.Des/2022,TM.00.07/494/XII/2022,2022-12-12,"undangan sosialisasi penyusunan bukti potong instansi pemerintah serta pra Rekon pajak pusat TA 2022",BPKD,"undangan sosialisasi penyusunan bukti potong instansi pemerintah serta pra Rekon pajak pusat TA 2022",12-Des--22,"Bagian keuangan hadiri (bu susi, bu anna)",undanngan,2022/12/13,09.00,"hotel megaland"
285,1524,040.Des/2022,PG.00/538/XII/2022,2022-12-09,"undangan rapat koordinasi pemenuhan kebutuhan tenaga outsourcing di lingkungan pemkot surakarta TA.2023","Sekretariat Daerah","undangan rapat koordinasi pemenuhan kebutuhan tenaga outsourcing di lingkungan pemkot surakarta TA.2023",12-Des--22,"bagian keuangan dihadiri bu susi dan mas agus",,,,
286,1523,039.Des/2022,B/140.39/UN.37.15/KM/22,2022-12-05,"Permohonan izin PKL mahasiswa fakultas teknik Universitas negri Semarang (4 peserta)","Universitas Negri Semarang","Permohonan izin PKL mahasiswa fakultas teknik Universitas negri Semarang (4 peserta)",12-Des--22,"bagian pelayanan 2 dimasukan media branding, 2 simasukan IDT (mas christian dan mas eko)",,,,
287,1522,038.Des/2022,4/TKIM/XII/2022,2022-12-12,"Izin Outing Class","KB-TK&TPA Isalam ""insan mulia""","Izin Outing Class",12-Des--22,"bagian HRD & Sekretariat ( bu lusi dan bu ani) bagian untuk siapkan tempat (mas dany)",,,,
288,1521,037.Des/2022,223/790/103.27.SMK.NUST.1/XII/PP/2022,2022-12-09,"Pemberitahuan kegiatan kunjungan INCUKA (4 peserta)","SMK Nusantara 1 Comal","Pemberitahuan kegiatan kunjungan INCUKA (4 peserta)",12-Des--22,"bagian pelayanan dan kerjasama (pak cris dan pak susilo)",,,,
289,1520,036.Des/2022,KT.00/5238/2022,2022-12-07,"Penunjukan personil khusus sebagai perwakilan Forum SDC Surakarta. 2. Undangan Koordinasi & Harmonisasi kegiatan Forum SDC Surakarta tahun 2023 dalam rangka Penciptaan Implementasi Program Kerja.","Sekretariat Daerah","Penunjukan personil khusus sebagai perwakilan Forum SDC Surakarta. 2. Undangan Koordinasi & Harmonisasi kegiatan Forum SDC Surakarta tahun 2023 dalam rangka Penciptaan Implementasi Program Kerja.",12-Des--22,"bagian pelayanan pak cris",Undangan,12-Des--22,12.30,"aula BPUD Surakarta"
290,1519,035.Des/2022,S-1521/PD/KPR.320603/22,2022-12-08,"pemberitahuan perubahan data dari permohonan perubahan data yang dikirim pada 8 desember 2022","KPP Pratama Surakarta","pemberitahuan perubahan data dari permohonan perubahan data yang dikirim pada 8 desember 2022",12-Des--22,"bagian keuangan (bu susi mas agus)",pemberitahuan,,,
291,1518,034.Des/2022,"028/TV 10/XII/2022",2022-12-09,"permohonana kerjasama peliputan program TV 10 dalam hal penayangan peliputan/Revew solo technopark yang dikemas dalam program tayangan jalan-jalan yo di TV 10","Televisi Inspirasi dan Edukasi","permohonana kerjasama peliputan program TV 10 dalam hal penayangan peliputan/Revew solo technopark yang dikemas dalam program tayangan jalan-jalan yo di TV 10",12-Des--22,,permohonan,,,
292,1517,033.Des/2022,RP.00/5292/2022,2022-12-09,"Rapat Koordinasi capaian serapan anggaran belanja OPD TA 2022","Sekretariat Daerah","Rapat Koordinasi capaian serapan anggaran belanja OPD TA 2022",2022/12/09,"bagian keuangan bu susi",Undandan,2022/12/12,13.00,"Ruang Rapat Tawang Arum Kompleks Balai Kota Surakarta"
293,1516,032.Des/2022,224/790/103.27.SMK,2022-12-09,"pemberitahuan kunjungan dalam rangka melaksanakan program SMK PK Pemadanan (4 peserta)","SMK NUSANTARA 1 COMAL","pemberitahuan kunjungan dalam rangka melaksanakan program SMK PK Pemadanan (4 peserta)",2022/12/09,"sudah ditemui",Permohonan,2022/12/13,13.00,STP
294,1515,031.Des/2022,046/19.G/SMK-YSJ/XI/2022,2022-12-09,"permohonan izin kunjungan industri (company visit) jumlah 80 siswa dan 8 guru","SMK YOS SUDARJO JERUKLEGI","permohonan izin kunjungan industri (company visit) jumlah perserta 80 siswa dan 8 guru",2022/12/09,"bagian pelayanan fasilitasi mas chris dan mas budi",permohonan,2022/01/19,,STP
295,1514,030.Des/2022,1493/54/KM/2022,2022-12-08,"ijin wawancara dalam rangka melengkapi tugas mata kuliah komunikasi publik fakultas ilmu sosial dan ilmu politik UNISRI (5orang)",UNISRI,"ijin wawancara dalam rangka melengkapi tugas mata kuliah komunikasi publik fakultas ilmu sosial dan ilmu politik UNISRI (5orang)",2022/12/08,,Permohonan,,,
296,1513,029.Des/2022,217/III.4/AU/A/2022,2022-11-08,"kunjungan industri SMK Muhamadiyah Mungkid","SMK Muhamadiyah Mungkid","kunjungan industri SMK Muhamadiyah Mungkid",2022/12/08,"bagian pelayanan fasilitasi mas budi dan pak chris",permohonan,2022/01/04,09.00,STP
297,1512,028.Des/2022,704/005/XII/2022,2022-12-06,"undangan pembahasan laporan akhir kajian dampak sosial dan lingkungan pembangunan islamic center kota surakarta",Balitbangda,"undangan pembahasan laporan akhir kajian dampak sosial dan lingkungan pembangunan islamic center kota surakarta",2022/12/08,sudah,Undangan,2022/12/12,12.30,"ruang rapat balitbangda surakarta"
298,1511,027.Des/2022,RP.00/5236/2022,2022-12-07,"surat edaran percepatan realisasi belanja, percepatan realisasi belanja dan pleaksanaan desk belanja OPD","Sekertariat Daerah","surat edaran percepatan realisasi belanja, percepatan realisasi belanja dan pleaksanaan desk belanja OPD",2022/12/08,"bagian keuangan bu susi mas agus",,,,
299,1510,026.Des/2022,001/HEAVENLYBLUSH/JTG/XII/2022,2022-12-02,"Permohonan izin kegiatn edukasi, sampling, dan open both Heavenly Blush di Solo Technopark (Solo Trade Building).","Heavenly Blush","Permohonan izin kegiatn edukasi, sampling, dan open both Heavenly Blush di Solo Technopark (Solo Trade Building).",2022/12/08,"bagian kerjasama dilangsungkan durasi weaktu open booth mas susilo dan mas danu",Permohonan,,,"soso trade building (STP)"
300,1509,025.Des/2022,DH3.SUR/862/2022,2022-12-07,"Permohonan kegiatan Senam Sehat Bersama Nasabah Bank Mandiri Taspen di Solo Technopark. (30 orang)","mandiri taspen","Permohonan kegiatan Senam Sehat Bersama Nasabah Bank Mandiri Taspen di Solo Technopark. (30 orang)",2022/12/08,"bagian umum&kerjasama fasilitasi full mas susilo dan mas danu",Permohonan,2022/12/09,06.00-08.00,"solo technopark"
301,1508,024.Des/2022,16/SKL-TM/XII/2022,2022-12-06,"Permohonan pinjam gedung untuk Penandatanganan MOU antara PT. Triangle Motorindo (VIAR) dengan Universitas Negeri Sebelas Maret (UNS).","VIAR motor indonesia","Permohonan pinjam gedung untuk Penandatanganan MOU antara PT. Triangle Motorindo (VIAR) dengan Universitas Negeri Sebelas Maret (UNS).",2022/12/08,"bagian kerjasama fasilitasi mas susilo",Permohonan,2022/12/13,13.00,"solo technopark"
302,1507,023.Des/2022,852/UN40.R3.2/TU.01.10/2022,2022-12-06,"Permohonan kunjungan kerja Program Pengembangan Science Technopark (Inovasi, HKI, dan Paten)","Universitas Pendidikan Indonesia","Permohonan kunjungan kerja Program Pengembangan Science Technopark (Inovasi, HKI, dan Paten)",2022/12/08,"fasilitasi sisiapkan tempat bagian pelayanan, (pak yudit, pak chris, mas danang, ) , bagian umum siapkan tempat (mas danu)",kunjungan,2022/12/16,09.00-11.00,"solo technopark"
303,1506,022.Des/2022,728/OD.03.01,2022-12-07,"undangan Public Hearding Hearing Raperda tentang Ketenagakejaan","DPRD kota surakarta","undangan Public Hearding Hearing Raperda tentang Ketenagakejaan",2022/12/07,"disposisi mas riza",Undangan,2022/12/08,10.00,"ruang Graha Pripurna DPRD kota surakarta"
304,1505,021.Des/2022,423.4/356,2022-11-28,"Permohonan Praktik Kerja Industri SMK Tunas Harapan Pati. (8 siswa)","SMK Tuna Harapan Pati","Permohonan Praktik Kerja Industri SMK Tunas Harapan Pati. (8 siswa)",,"bagian diklat pertimbangkan mas budi dan masa chris",,,,
305,1504,020.Des/2022,TM.00.05/5603/2022,2022-12-06,"Undangan Rapat Teknis Tim Koordinasi Kerja Sama Daerah (TKKSD) tentang Pembaharuan Kerja Sama antara Pemerintah Kota Surakarta dengan PT. Shopee International Indonesia.","Sekretariat Daerah","Undangan Rapat Teknis Tim Koordinasi Kerja Sama Daerah (TKKSD) tentang Pembaharuan Kerja Sama antara Pemerintah Kota Surakarta dengan PT. Shopee International Indonesia.",2022/12/07,"Bagian kerjasama. Hadiri. Mas Susilo",,,,
306,1503,019.Des/2022,KM.05.00/5189/2022,2022-12-05,"pembukaan pameran paroduk usaha mikro","Sekretariat Daerah","pembukaan pameran paroduk usaha mikro",2022/12/06,"bagian inkubator hadiri mas danu",,,,
307,1502,018.Des/2022,14.033/PJR/XI/2022,2022-12-06,"Undangan Opening Speakers Connext Masterclass: Introduction to Executive Bussines School in Telecoms by APJII & Pijar Foundation.","Pijar Foundatioan","Undangan Opening Speakers Connext Masterclass: Introduction to Executive Bussines School in Telecoms by APJII & Pijar Foundation.",2022/12/06,"bagian kerjasama & umum, siapkan tempatnya (mas susilo dan pak danang)",,,,
308,1501,017.Des/2022,JU.01.00/5180/2022,2022-12-05,"undangan rapat foccus Group Discussion (FGD) pedoman teknis pelaksanaan kegiatan APBD surakarta th.2021","Sekretariat Daerah","undangan rapat foccus Group Discussion (FGD) pedoman teknis pelaksanaan kegiatan APBD surakarta th.2021",2022/12/06,"bagian keuangan , bu susi dan mas agus",,,,
309,1500,016.Des/2022,B/140.39/UN.37.15/KM/22,2022-12-05,"Permohonan izin PKL fakultas teknik UNNES Semarang (4 orang)","UNNES Semarang","Permohonan izin PKL fakultas teknik UNNES Semarang (4 orang)",2022/12/06,,Permohonan,"02-Jan s.d 30-Jun-23",,
310,1499,015.Des/2022,528/RP.05/XII/2022,2022-12-05,"undangan Desk asistensi realisasi belanja perangkat daerah tahun anggaran 2022","sekretariat daerah","undangan Desk asistensi realisasi belanja perangkat daerah tahun anggaran 2022",2022/12/06,"bagian keuangan bu susi",,,,
311,1498,013.Des/2022,685/005/XII/2022,2022-12-01,"undangan rapat finalisasi kegiatan pendampingan hilirisasi hasil riset perguruan tinggi",Balitbangda,"undangan rapat finalisasi kegiatan pendampingan hilirisasi hasil riset perguruan tinggi",2022/12/06,"sudah dilaksanakan",,,,
312,1497,012.Des/2022,673/PN.02.00/XII/2022,2022-12-01,"permohonan acara workshop hasil kajian monitoring dan evaluasi Smart city kota surakarta",balitbangda,"permohonan acara workshop hasil kajian monitoring dan evaluasi Smart city kota surakarta",2022/12/05,"sudah diurus",,,,
313,1496,010.Des/2022,801/UN27.04.9.3/ICD/B/XI/2022,2022-11-28,"Permohonan izin magang mahasiswa UNS Prodi Manajemen. (2 orang).",UMS,"Permohonan izin magang mahasiswa UNS Prodi Manajemen. (2 orang).",2022/12/05,"bagian media branding ditempatkan sebagai admin ITD (mas rizky)",,,,
314,1495,009.Des/2022,,2022-12-05,"Permohonan pinjam pakai area Solo Technopark untuk kegiatan Test Drive.","Shopee Xpress","Permohonan pinjam pakai area Solo Technopark untuk kegiatan Test Drive.",2022/12/05,,,,,
315,1494,008.Des/2022,0157/YKAI/A.300/12.22,2022-12-03,"Permohonan pinjam tempat untuk YKAI untuk prpgram ""Senyum Sehat Anak Indonesia"". Tema acara: Mama Hebat Sekarang dan Selamanya",YKAI,"Permohonan pinjam tempat untuk YKAI untuk prpgram ""Senyum Sehat Anak Indonesia"". Tema acara: Mama Hebat Sekarang dan Selamanya",2022/12/05,,,,,
316,1493,007.Des/2022,050/0950/Litbang/2022,2022-12-01,"Permohonan Studi Komparasi dalam rangka Meningkatkan Kualitas Kelitbangan Bappeda Kabupaten Pati.","BAPPEDA PATI","Permohonan Studi Komparasi dalam rangka Meningkatkan Kualitas Kelitbangan Bappeda Kabupaten Pati. Jumlah 4 orang",2022/12/05,"sudah dihadiri",,,,
317,1492,006.Des/2022,424/356,2022-12-01,"Permohonan Izin Kunjungan Industri","SMK Pancasila 3 Baturetno","Permohonan Izin Kunjungan Industri",2022/12/02,"bagian dikat pelayanan difasilitasi mas budi dan pak chris",,,,
318,1491,005.Des/2022,422/005/405.43.03./SMP.T/2022,2022-12-01,"Permohonan izin Kunjungan (FILTD TRIP)","SMP Terpadu Ponorogo","Permohonan izin Kunjungan (FILTD TRIP)",2022/12/02,"bagian pelayanan fasilitasi mas budi dan pak chris",,,,
319,1490,004.Des/2022,686/005/XII/2022,2022-12-01,"Undangan Rapat Finalisasi Perjanjian Sewa Menyewa antara Pt. Shopee Indonesia dengan Solo Technopark.",BALITBANGDA,"Undangan Rapat Finalisasi Perjanjian Sewa Menyewa antara Pt. Shopee Indonesia dengan Solo Technopark.",2022/12/02,"bagian kerjasama dihadiri mas susilo",,,,
320,1489,003.Des/2022,684/005/XII/2022,2022-12-01,"Undangan Rapat Penjelasan dan Penyusunan BMC Kegiatan Pendampingan Hilirisasi Hasil Riset Perguruan Tinggi.",BALITBANGDA,"Undangan Rapat Penjelasan dan Penyusunan BMC Kegiatan Pendampingan Hilirisasi Hasil Riset Perguruan Tinggi.",2022/12/02,"sudah dihadiri",,,,
321,1488,002.Des/2022,B-1192/Dep.4.2/WU.01.01/XI/2022,2022-12-28,"Monitoring dan Evaluasi Program Fasilitas Inkubasi Wirausaha ke Lembaga Inkubator BLUD UTP Solo Technopark.","KEMENKOP UKM","Monitoring dan Evaluasi Program Fasilitas Inkubasi Wirausaha ke Lembaga Inkubator BLUD UTP Solo Technopark.",2022/12/01,"mas danu dan pak christ , bagian inkubator dihadiri",,,,
322,1487,001.Des/2022,1635/1/UTP/XI/2022,2022-12-28,"permohonan izin pinjam ruang dalam rangka penyelengaraan latihan keterampilan mahasiswa tingkat dasar (LKMM-TD) Universitas Pembangunan Surakarta (70 peserta)","UTP SKA","permohonan izin pinjam ruang dalam rangka penyelengaraan latihan keterampilan mahasiswa tingkat dasar (LKMM-TD) Universitas Pembangunan Surakarta (70 peserta)",2022/12/01,"bagian kerjasama pertimbangkan (mas Susilo)",,,,
323,1486,067.Nov/2022,RP.00/5076/2022,2022-11-30,"Undangan rapat koordinasi capaian serapan anggaran belanja DPD TA 2022","Sekretariat Daerah","Undangan rapat koordinasi capaian serapan anggaran belanja DPD TA 2022",2022/11/30,,,,,
324,1485,066.Nov/2022,PG.00/4776/2022,2022-11-15,"Surat edaran pedoman pengunaaan katalog lokal kota Surakarta","Sekretariat Daerah","Surat edaran pedoman pengunaaan katalog lokal kota Surakarta",2022/11/30,"bagian keuangan informasi (bu susi mas agus)",,,,
325,1484,065.Nov/2022,PG.00/5041/2022,2022-11-28,"Undangan dalam rangka meningjatkan pemahaman terhadap tata cara dan ketentuan pengadaan barang/jasa melalui katalog llokal kota surakarta","Sekretariat Daerah","Undangan dalam rangka meningjatkan pemahaman terhadap tata cara dan ketentuan pengadaan barang/jasa melalui katalog llokal kota surakarta",2022/11/30,,UNDANGAN,2022/11/30,"08.30 WIB - selesai","Adhiwangsa hotel & convention"
326,1483,064.Nov/2022,TM.00.07/473/XI/2022,2022-11-29,"Undangan sosialisasi PMK tentang penghapusan piutang daerah yang tidak dapat diserahkan pengurusnya kepada panitia urusan piutang negara",BPKAD,"Undangan sosialisasi PMK tentang penghapusan piutang daerah yang tidak dapat diserahkan pengurusnya kepada panitia urusan piutang negara",2022/11/30,,UNDANGAN,2022/12/01,"09.00 WIB- Selsai","aula lt 4 gedung sekretariat bersama kota SKA"
327,1482,063.Nov/2022,663/005/XI/2022,2022-11-28,"Undangan rapat pembahasan draft penilaian penerapan pola pengelolaan keuangan BLUD UPTD kawasan sains dan teknologi.",Balitbangda,"Undangan rapat pembahasan draft penilaian penerapan pola pengelolaan keuangan BLUD UPTD kawasan sains dan teknologi.",2022/11/29,"sudah dihadiri",UNDANGAN,2022/11/29,"13.00 WIB - selesai","Ruang rapat Balitbangda"
328,1481,062.Nov/2022,/DIS.01.01/B03030100/2022,2022-11-25,"Informasi pemeliharaan jaringan listrik.",PLN,"Informasi pemeliharaan jaringan listrik.",2022/11/28,"Tolong diurus solusinya PLN, Gneset (m susilo, m danang)",,2022/11/29,"10.00 - 13.00 WIB",
329,1480,061.Nov/2022,03.001/UN27.10.6.4/XI/2022,2022-11-28,"Permohonan penyewaan tempat, kegiatan pameran seni.",UNS,"Permohonan penyewaan tempat, kegiatan pameran seni.",2022/11/28,"mas susilo, mas danu pertimbangkan waktunya",PERMOHONAN,"Jumat - Sabtu, 23-24 November 2022","10.00 - selesai",
330,1479,060.Nov/2022,045.2/647/101.6.12.16/2022,2022-11-24,"Kunjungan industri (91 orang)",,"Kunjungan industri (91 orang)",2022/11/28,"bagian pelayanan fasilitasi mas chris dan mas budi",KUNJUNGAN,2023/01/04,"10.00 - selesai",STP
331,1478,059.Nov/2022,800/645/101.6.10.22/2022,2022-11-23,"Permohonan peningkatan mutu guru (18 guru)",,"Permohonan peningkatan mutu guru (18 guru)",2022/11/25,"bagian pelayanan fasilitasi mas chris",PERMOHONAN,2022/12/09,,
332,1477,058.Nov/2022,563/460/BLKI.BTG/XI,2022-11-22,"Kunjungan kerja dalam rangka pengembangan program pelatihan las bawah air","Disnaker Trans","Kunjungan kerja dalam rangka pengembangan program pelatihan las bawah air",2022/11/25,"sudah dilaksanakan",KUNJUNGAN,2022/11/24,,
333,1476,057.Nov/2022,KM.00/3655/XI/2022,2022-11-24,"Undangan menerima kunjungan BPPD, penelitian dan pengembangan provinsi riau.","Dinas Koperasi UKM dan Perindustria","Undangan menerima kunjungan BPPD, penelitian dan pengembangan provinsi riau.",2022/11/25,"Mohon bisa diterima (p. christian)",UNDANGAN,2022/11/29,"14.00 WIB - selesai","aula dinas koperasi ukm"
334,1475,056.Nov/2022,,2022-11-26,"permohonan pinjaman pakai area Solo Technopark untuk diselengarakannya kegiatan Test Drive Shopee Xpress (15 Kandidat)","Shopee Xpress","permohonan pinjaman pakai area Solo Technopark untuk diselengarakannya kegiatan Test Drive Shopee Xpress (15 Kandidat)",2022/11/24,"sudah dihadiri",,,,
335,1474,055.Nov/2022,653/005/XI/2022,2022-11-23,"Undangan, rapat koordinasi lanjutan pembahasan draft perwali pola tata kelola BLUT UPT kawasan sains dan teknologi",Balitbangda,"Undangan, rapat koordinasi lanjutan pembahasan draft perwali pola tata kelola BLUT UPT kawasan sains dan teknologi",2022/11/23,"sudah duhadiri",UNDANGAN,2022/11/24,"12.30 - selesai","Ruang rapat balitbangda"
336,1473,054.Nov/2022,"641/KP II.00/XI/2022",2022-11-22,"Surat perintah, mengikuti lomba olahraga tradisional dalam rangka peringatan hari ulang tahun KORPRI ke-51.",Balitbangda,"Surat perintah, mengikuti lomba olahraga tradisional dalam rangka peringatan hari ulang tahun KORPRI ke-51.",2022/11/23,"Hadiri (tim lomba)",,2022/11/24,"07.30 WIB - selesai","Lap softball kompleks std manahan surakarta (utara lap tennis indoor)"
337,1472,053.Nov/2022,255/UN27.13/PK.01.03/2022,2022-11-21,"Permohonan ijin melaksanakan wawancara pelaksanakan tugas pengumpulan data.",UNS,"Permohonan ijin melaksanakan wawancara pelaksanakan tugas pengumpulan data.",2022/11/22,"Bagian HRD Fasilitas (bu lusi)",PERMOHONAN,,,
338,1471,052.Nov/2022,PET-STP/XI/003/2022,2022-11-04,"Permohonan Izin Perbaikan Mushola dan Toilet Gedung RnD Lt.2",PETROTEKNO,"Permohonan Izin Perbaikan Mushola dan Toilet Gedung RnD Lt.2",2022/11/22,"Bagian kawasan umum (m danang, p untung)",PERMOHONAN,"Sabtu - Selasa, 5-8 November 2022",,Mushola
339,1470,051.Nov/2022,"192/K.YP IPPI/XI/2022",2022-11-15,"Permohonan izin Kunjungan Industr 110 orang","SMK YP IPPI Jakarta","Permohonan izin Kunjungan Industr 110 orang",2022/11/21,"Bagian Pelayanan Diklat Fasilitasi (m christian, m budi)",KUNJUNGAN,2023/02/02,"10.00 WIB - selesai",
340,1469,050.Nov/2022,635/PN.02/XI/2022,2022-11-21,"Permohonan pendampingan tentang undangan penjurian pemetaan daya saing daerah (PDSD) tingkat provinsi jawa tengah.",Balitbangda,"Permohonan pendampingan tentang undangan penjurian pemetaan daya saing daerah (PDSD) tingkat provinsi jawa tengah.",2022/11/21,"Sudah dihadiri",PERMOHONAN,2022/11/22,"07.30 - selesai","ruang rapat bappeda"
341,1468,049.Nov/2022,1367/ST/IR.II/2022,2022-11-13,"Surat tugas permohonan pendampingan perjalnan dinas dalam rangka pengawasan terpadu kegiatan pendampingan terhadap pemeriksaan paket pekerjaan infrastruktur di jawa tengah.","Kementrian ESDM RI","Surat tugas permohonan pendampingan perjalnan dinas dalam rangka pengawasan terpadu kegiatan pendampingan terhadap pemeriksaan paket pekerjaan infrastruktur di jawa tengah.",2022/11/21,"Sudah dilaksanakan",,"Rabu - Minggu, 16-20 November 2022",,cilacap
342,1467,048.Nov/2022,023/unu.RKT/UND/XI,2022-11-15,"Undangan acara "" UNU Yogyakarta industri forum 2022"" dengan tema ""Noosting higher education capacity through collaboration innovation and celleration arogams","UNU Yogyakarta","Undangan acara "" UNU Yogyakarta industri forum 2022"" dengan tema ""Noosting higher education capacity through collaboration innovation and celleration arogams",2022/11/21,"Hadiri (m susilo, pak yudit)",UNDANGAN,2022/11/25,"13.30 - 16.30 WIB","Ashley hotel jakarta"
343,1466,047.Nov/2022,629/005/XI/2022,2022-11-17,"Undangan. Rapat lanjutan pembahasan sewa menyewa gedung teaching factory solo technopark.",Balitbangda,"Undangan. Rapat lanjutan pembahasan sewa menyewa gedung teaching factory solo technopark.",2022/11/17,"Sudah dihadiri",UNDANGAN,2022/11/21,"10.00 - selesai","Ruang rapat balitbangda"
344,1465,046.Nov/2022,421/1154,2022-11-16,"Permohonan ijin kunjungan (155 Orang)","SMAN 1 Kalasan","Permohonan ijin kunjungan (155 Orang)",2022/11/17,"Bagian Pelayanan Diklat Fasilitasi (m christian, m budi)",KUNJUNGAN,2022/01/18,"09.00 - 12.00 WIB",STP
345,1464,045.Nov/2022,,2022-11-16,"Permohonan izin peminjaman ruangan untuk kegiatan training oleh tim call center pizza hut indonesia.","Pizza Hut","Permohonan izin peminjaman ruangan untuk kegiatan training oleh tim call center pizza hut indonesia.",2022/11/17,"Bagian kerjasama & kawasan lihat kecanggihan tempat (bp susilo & b danang)",PERMOHONAN,"Senin - Jumat, 1 - 31 Desember 2022","08.00 - 16.00 WIB",
346,1463,044.Nov/2022,569/005/XI/2022,2022-11-15,"Undangan, Pendampingan V (Evaluasi pendampingan prototype dan paparan bussiness model canvas)",Balitbangda,"Undangan, Pendampingan V (Evaluasi pendampingan prototype dan paparan bussiness model canvas)",2022/11/17,"Hadiri (m susilo)",UNDANGAN,2022/11/17,"09.00 - selesai","Ruang rapat balitbangda"
347,1462,043.Nov/2022,486/RP.05/XI/2022,2022-11-16,"DESK LANJUTAQN PELAPORAN SIMDALBANGDA BULAN OKTOBER 2022 KAMIS/17 NOVEMBER 2022","Sekretariat Daerah","DESK LANJUTAQN PELAPORAN SIMDALBANGDA BULAN OKTOBER 2022 KAMIS/17 NOVEMBER 2022",2022/11/16,"Bagian Keuangan (bu susi)",UNDANGAN,2022/11/17,"09.00 - selesai","Ruang rapat bagian administrasi pembangunan setda"
348,1461,042.Nov/2022,PG.01/4636/2022,2022-11-16,"RAPAT KOORDINASI MONEV TRIWULAN III TAHUN ANGGARAN 2022","Sekretariat Daerah","RAPAT KOORDINASI MONEV TRIWULAN III TAHUN ANGGARAN 2022",2022/11/16,"Bagian Keuangan (bu susi)",UNDANGAN,2022/11/21,"08.30 - selesai","Ruang tawangarum komplek balaikota surakarta"
349,1460,041.Nov/2022,050/BAPPEDALITBANG-UPT.RSTP/0676,2022-11-14,"Permohonan kunjungan kerja, optimalisasi dan memaksimalkan peran UPT Riau Science Technopark.",Bappeda,"Permohonan kunjungan kerja, optimalisasi dan memaksimalkan peran UPT Riau Science Technopark.",2022/11/16,fasilitasi,PERMOHONAN,2022/11/29,"09.00 - selesai",STP
350,1459,040.Nov/2022,040.Nov/2022-B/12989/UN37.1.5/KM/2022,2022-11-14,"Permohonan Izin PKL. Teknik mesin. (3 Orang)","UNNES Semarang","Permohonan Izin PKL. Teknik mesin. (3 Orang)",2022/11/16,"Bagian Pelayanan Diklat Fasilitasi (m christian, m budi)",PERMOHONAN,"2 Januari - 30 Juni 2023",,
351,1458,039.Nov/2022,PU.17.01/10143/XI/2022,2022-11-14,"Undangan sosialisasi penyelenggaraan implementasi SIMBG",DPUPR,"Undangan sosialisasi penyelenggaraan implementasi SIMBG",2022/11/15,"Bagian Keuangan (bu susi)",UNDANGAN,2022/11/17,"09.00 - selesai","Ballroom Adhiwangsa Hotel & Convention"
352,1457,038.Nov/2022,"141/UN 27.41.20/KM/2022",2022-11-12,"Permohonan Sponsorship Kegiatan Pementasan Pentas Produksi Ormawa Kesenian Tradisional UNS tahun 2022.",UNS,"Permohonan Sponsorship Kegiatan Pementasan Pentas Produksi Ormawa Kesenian Tradisional UNS tahun 2022.",2022/11/15,"Bagian kerjasama tolong di kajian (m susilo)",PERMOHONAN,2022/12/02,"15.00 - 23.00 WIB","TBJT Surakarta"
353,1456,037.Nov/2022,565/005/XI/2022,2022-11-14,"Undangan Rapat Koordinasi Pembahasan Draft Perwali Pola Tata Kelola BLUD UPT Kawasan Sains Teknologi (KST)",Balitbangda,"Undangan Rapat Koordinasi Pembahasan Draft Perwali Pola Tata Kelola BLUD UPT Kawasan Sains Teknologi (KST)",2022/11/15,"Sudah dihadiri",UNDANGAN,2022/11/17,"09.00 - selesai","Ruang rapat balitbangda"
354,1455,036.Nov/2022,TM.00.07/4588/2022,2022-11-07,"RALAT UNDANGAN MONEV KERJASAMA DAERAH 15 NOVEMBER 2022","Sekretariat Daerah","RALAT UNDANGAN MONEV KERJASAMA DAERAH 15 NOVEMBER 2022",2022/11/14,"Hadiri (m susilo)",UNDANGAN,2022/11/15,"11.00 - 13.00 WIB","Solia Hotel Yosodipuro Solo"
355,1454,035.Nov/2022,PN.02/4731/2022,2022-11-11,"undangan workshop forum litbang subosukawonosraten dengan tema: ""Kolaborasi Penguatan Riset dan Inovasi Daerah Melalui Sistem Kewilayahan Subosukawonosraten""","Sekretariat Daerah","undangan workshop forum litbang subosukawonosraten dengan tema: ""Kolaborasi Penguatan Riset dan Inovasi Daerah Melalui Sistem Kewilayahan Subosukawonosraten""",2022/11/14,"Sudah dihadiri",UNDANGAN,2022/11/15,"08.30 WIB -selesai","Ballroom IV Hotel Sunan SKA"
356,1453,034.Nov/2022,562/005/XI/2022,2022-11-14,"undangan FGD kajian dampak sosial dan lingkungan pembangunan islamic canter kota surakarta",Balitbangda,"undangan FGD kajian dampak sosial dan lingkungan pembangunan islamic canter kota surakarta",2022/11/14,,UNDANGAN,2022/11/15,12:30WIB-selesai,"Hotel DANA"
357,1452,033.Nov/2022,,2022-11-14,"Permohonan pinjam pakai area di solo technopark guna kelancaran kegiatan test drive. (42 Kandidat)","Shopee Express","Permohonan pinjam pakai area di solo technopark guna kelancaran kegiatan test drive. (42 Kandidat)",2022/11/14,"Sudah dilaksanakan",PERMOHONAN,"Sabtu & Minggu, 19-20 November 2022","09.00 - 16.00 WIB",STP
